sample_id,study_name,PMID,sample_accession,study_accession,bedaquiline,clofazimine,linezolid,delamanid,pretomanid
43,"Chesov E, 2022",34503982,ERR4872276,PRJEB41518,S,S,NA,NA,NA
44,"Chesov E, 2022",34503982,ERR4872318,PRJEB41518,S,S,NA,NA,NA
45,"Chesov E, 2022",34503982,ERR4872308,PRJEB41518,R,S,NA,NA,NA
46,"Chesov E, 2022",34503982,ERR4872323,PRJEB41518,R,S,NA,NA,NA
47,"Chesov E, 2022",34503982,ERR4872314,PRJEB41518,S,S,NA,NA,NA
48,"Chesov E, 2022",34503982,ERR4872310,PRJEB41518,R,S,NA,NA,NA
48,"Chesov E, 2022",34503982,ERR4872288,PRJEB41518,S,S,NA,NA,NA
49,"Chesov E, 2022",34503982,ERR4872321,PRJEB41518,S,S,NA,NA,NA
50,"Chesov E, 2022",34503982,ERR4872307,PRJEB41518,R,S,NA,NA,NA
51,"Chesov E, 2022",34503982,ERR4872290,PRJEB41518,S,S,NA,NA,NA
51,"Chesov E, 2022",34503982,ERR4872284,PRJEB41518,R,S,NA,NA,NA
52,"Chesov E, 2022",34503982,ERR4872325,PRJEB41518,S,S,NA,NA,NA
53,"Chesov E, 2022",34503982,ERR4872340,PRJEB41518,S,S,NA,NA,NA
54,"Chesov E, 2022",34503982,ERR4872343,PRJEB41518,S,S,NA,NA,NA
54,"Chesov E, 2022",34503982,ERR4872313,PRJEB41518,S,S,NA,NA,NA
55,"Chesov E, 2022",34503982,ERR4872267,PRJEB41518,S,R,NA,NA,NA
56,"Chesov E, 2022",34503982,ERR4872350,PRJEB41518,S,S,NA,NA,NA
56,"Chesov E, 2022",34503982,ERR4872322,PRJEB41518,S,S,NA,NA,NA
57,"Chesov E, 2022",34503982,ERR4872301,PRJEB41518,S,S,NA,NA,NA
57,"Chesov E, 2022",34503982,ERR4872312,PRJEB41518,R,R,NA,NA,NA
58,"Chesov E, 2022",34503982,ERR4872292,PRJEB41518,S,S,NA,NA,NA
59,"Chesov E, 2022",34503982,ERR4872353,PRJEB41518,S,S,NA,NA,NA
60,"Chesov E, 2022",34503982,ERR4872295,PRJEB41518,S,S,NA,NA,NA
61,"Chesov E, 2022",34503982,ERR4872271,PRJEB41518,R,R,NA,NA,NA
