sample_id,study_name,PMID,sample_accession,study_accession,bedaquiline,clofazimine,linezolid,delamanid,delamanid
SRR6824378,gomes2021;huang2019,,SRR6824378,NA,0,0,NA,0,
SRR6824380,gomes2021;huang2019,,SRR6824380,NA,0,0,NA,0,
SRR6824383,gomes2021;huang2019,,SRR6824383,NA,0,0,NA,0,
SRR6824382,gomes2021;huang2019,,SRR6824382,NA,0,0,NA,0,
SRR6824385,gomes2021;huang2019,,SRR6824385,NA,0,0,NA,0,
SRR6824384,gomes2021;huang2019,,SRR6824384,NA,0,0,NA,0,
SRR6824387,gomes2021;huang2019,,SRR6824387,NA,0,0,NA,0,
SRR6824386,gomes2021;huang2019,,SRR6824386,NA,0,0,NA,0,
SRR6824691,gomes2021;huang2019,,SRR6824691,NA,0,1,NA,0,
SRR6824688,gomes2021;huang2019,,SRR6824688,NA,0,0,NA,1,
SRR6824689,gomes2021;huang2019,,SRR6824689,NA,0,0,NA,0,
SRR6824694,gomes2021;huang2019,,SRR6824694,NA,0,0,NA,0,
SRR6824696,gomes2021;huang2019,,SRR6824696,NA,0,0,NA,0,
SRR6824697,gomes2021;huang2019,,SRR6824697,NA,0,0,NA,0,
SRR6824574,gomes2021;huang2019,,SRR6824574,NA,0,0,NA,0,
SRR6824571,gomes2021;huang2019,,SRR6824571,NA,0,0,NA,0,
SRR6824570,gomes2021;huang2019,,SRR6824570,NA,0,0,NA,0,
SRR6824569,gomes2021;huang2019,,SRR6824569,NA,0,0,NA,0,
SRR6824568,gomes2021;huang2019,,SRR6824568,NA,0,0,NA,0,
SRR6824567,gomes2021;huang2019,,SRR6824567,NA,0,0,NA,0,
SRR6824576,gomes2021;huang2019,,SRR6824576,NA,0,0,NA,0,
SRR6824453,gomes2021;huang2019,,SRR6824453,NA,0,0,NA,0,
SRR6824454,gomes2021;huang2019,,SRR6824454,NA,0,0,NA,0,
SRR6824455,gomes2021;huang2019,,SRR6824455,NA,0,0,NA,0,
SRR6824458,gomes2021;huang2019,,SRR6824458,NA,0,0,NA,0,
SRR6824459,gomes2021;huang2019,,SRR6824459,NA,0,0,NA,0,
SRR6824460,gomes2021;huang2019,,SRR6824460,NA,0,0,NA,0,
SRR6824451,gomes2021;huang2019,,SRR6824451,NA,0,0,NA,0,
SRR6824343,gomes2021;huang2019,,SRR6824343,NA,0,0,NA,0,
SRR6824342,gomes2021;huang2019,,SRR6824342,NA,0,0,NA,0,
SRR6824345,gomes2021;huang2019,,SRR6824345,NA,0,0,NA,0,
SRR6824339,huang2019,,SRR6824339,NA,0,0,0,0,
SRR6824341,gomes2021;huang2019,,SRR6824341,NA,0,0,NA,0,
SRR6824336,gomes2021;huang2019,,SRR6824336,NA,0,0,NA,0,
SRR6824646,huang2019,,SRR6824646,NA,0,1,0,1,
SRR6824647,gomes2021;huang2019,,SRR6824647,NA,0,0,NA,0,
SRR6824644,gomes2021;huang2019,,SRR6824644,NA,0,0,NA,0,
SRR6824642,gomes2021;huang2019,,SRR6824642,NA,0,1,NA,0,
SRR6824643,gomes2021;huang2019,,SRR6824643,NA,0,0,NA,0,
SRR6824640,gomes2021;huang2019,,SRR6824640,NA,0,0,NA,0,
SRR6824638,gomes2021;huang2019,,SRR6824638,NA,0,0,NA,0,
SRR6824639,gomes2021;huang2019,,SRR6824639,NA,0,1,NA,0,
SRR6824519,gomes2021;huang2019,,SRR6824519,NA,0,0,NA,0,
SRR6824518,gomes2021;huang2019,,SRR6824518,NA,0,0,NA,0,
SRR6824517,gomes2021;huang2019,,SRR6824517,NA,0,0,NA,0,
SRR6824524,gomes2021;huang2019,,SRR6824524,NA,0,0,NA,0,
SRR6824523,gomes2021;huang2019,,SRR6824523,NA,0,0,NA,0,
SRR6824522,gomes2021;huang2019,,SRR6824522,NA,0,1,NA,0,
SRR6824521,gomes2021;huang2019,,SRR6824521,NA,0,0,NA,0,
SRR6824526,gomes2021;huang2019,,SRR6824526,NA,0,1,NA,0,
SRR6824525,gomes2021;huang2019,,SRR6824525,NA,0,0,NA,0,
SRR6824407,gomes2021;huang2019,,SRR6824407,NA,0,0,NA,0,
SRR6824408,gomes2021;huang2019,,SRR6824408,NA,0,0,NA,0,
SRR6824401,gomes2021;huang2019,,SRR6824401,NA,0,1,NA,0,
SRR6824403,gomes2021;huang2019,,SRR6824403,NA,0,1,NA,0,
SRR6824404,gomes2021;huang2019,,SRR6824404,NA,0,0,NA,0,
